species,decimalLatitude,decimalLongitude,eventDate,scientificName,phylum,class,order,family,genus
Namalycastis abiuma,10.0,95.0,1872-07-02T00:00:00Z,Namalycastis abiuma,Annelida,Polychaeta,Phyllodocida,Nereididae,Namalycastis
Engraulis eurystole,33.0,77.0,1977-10-05,Engraulis eurystole,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis
Evolvocassidulina bradyi,9.0292,72.8778,1972-03-10,Evolvocassidulina bradyi,Foraminifera,Globothalamea,Rotaliida,Cassidulinidae,Evolvocassidulina
Mutilus pentoekensis,12.11666667,75.13805556,2007,Mutilus pentoekensis,Arthropoda,Ostracoda,Podocopida,Trachyleberididae,Mutilus
Clausocalanus arcuicornis,19.3667,69.1167,1976-10-10T05:00:00Z,Clausocalanus arcuicornis,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus
Rasbora daniconius,10.0,93.0,1822-07-02T12:00:00Z,Rasbora daniconius,Chordata,Teleostei,Cypriniformes,Cyprinidae,Rasbora
Nanosesarma batavicum,11.4833335876,79.7666702271,,Nanosesarma batavicum,Arthropoda,Malacostraca,Decapoda,Sesarmidae,Nanosesarma
Euchaeta concinna,14.55,72.6833,1973-09-02T08:45:00Z,Euchaeta concinna,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta
Oncaea mediterranea,12.7743,74.5452,2017-12-25,Oncaea mediterranea,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Oncaea
Heterocarpus chani,12.53,93.15,2016-04-10,Heterocarpus chani,Arthropoda,Malacostraca,Decapoda,Pandalidae,Heterocarpus
Pleuromamma indica,8.25,76.65,1973-09-12T06:25:12Z,Pleuromamma indica,Arthropoda,Copepoda,Calanoida,Metridinidae,Pleuromamma
Tintinnopsis beroidea,11.48333333,79.76666667,2002/2003,Tintinnopsis beroidea,Ciliophora,Oligotrichea,Choreotrichida,Codonellidae,Tintinnopsis
Haplosyllis spongicola,8.548888889,76.92722222,2005-01,Haplosyllis spongicola,Annelida,Polychaeta,Phyllodocida,Syllidae,Haplosyllis
Haliotis varia,8.5,79.0,1758-07-02T12:00:00Z,Haliotis varia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis
Dicyathifer mannii,20.3167,86.75,1866,Dicyathifer mannii,Mollusca,Bivalvia,Myida,Teredinidae,Dicyathifer
Zonosagitta pulchra,10.1199998856,92.9700012207,,Zonosagitta pulchra,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Zonosagitta
Undella hyalina,12.6282,74.02766,2018-09-24,Undella hyalina,Ciliophora,Oligotrichea,Choreotrichida,Undellidae,Undella
Omobranchus zebra,8.5,79.0,1980-07-02T00:00:00Z,Omobranchus zebra,Chordata,Teleostei,Blenniiformes,Blenniidae,Omobranchus
Discoconchoecia elegans,17.9300003052,87.0,,Discoconchoecia elegans,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Discoconchoecia
Sardinella gibbosa,22.6,69.5,1849,Sardinella gibbosa,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Sardinella
Glyptometra invenusta,12.0,93.83,1983,Glyptometra invenusta,Echinodermata,Crinoidea,Comatulida,Charitometridae,Glyptometra
Asteronema breviarticulatum,20.959762967206,90.746644562275,1996,Asteronema breviarticulatum,Ochrophyta,Phaeophyceae,Scytothamnales,Asteronemataceae,Asteronema
Myxilla (Ectyomyxilla) arenaria,9.0,79.0,,Myxilla (Ectyomyxilla) arenaria,Porifera,Demospongiae,Poecilosclerida,Myxillidae,Myxilla
Scatophagus argus,21.3,70.0,1974-09-18,Scatophagus argus,Chordata,Teleostei,Acanthuriformes,Scatophagidae,Scatophagus
Mauritia depressa,11.666,92.733,,Mauritia depressa,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Mauritia
Thryssa hamiltonii,16.75,96.1669998169,,Thryssa hamiltonii,Chordata,Teleostei,Clupeiformes,Engraulidae,Thryssa
Flaccisagitta enflata,18.33,90.1,1959/1965,Flaccisagitta enflata,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Flaccisagitta
Cyclotrichium cyclokaryon,14.5536,70.0128,2010-03-30,Cyclotrichium cyclokaryon,Ciliophora,Litostomatea,Haptorida,Didiniidae,Cyclotrichium
Subeucalanus mucronatus,20.2,89.9,1971-11-22T02:15:00Z,Subeucalanus mucronatus,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus
Pelocoetes exul,19.1499996185,72.8300018311,,Pelocoetes exul,Cnidaria,Hexacorallia,Actiniaria,Haliactinidae,Pelocoetes
Cypridina dentata,20.3299999237,69.9800033569,,Cypridina dentata,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina
Nannocalanus minor,8.9532,78.8867,2002/2011,Nannocalanus minor,Arthropoda,Copepoda,Calanoida,Calanidae,Nannocalanus
Nandus nandus,13.257938,80.338105,,Nandus nandus,Chordata,Teleostei,Anabantiformes,Nandidae,Nandus
Phytocoeteopsis ramunnii,9.94999980927,76.2666702271,,Phytocoeteopsis ramunnii,Cnidaria,Hexacorallia,Actiniaria,Haliactinidae,Phytocoeteopsis
Siliqua radiata,21.647223,87.63333,1758,Siliqua radiata,Mollusca,Bivalvia,Adapedonta,Pharidae,Siliqua
Lovenia elongata,8.5,79.0,1845-07-02T12:00:00Z,Lovenia elongata,Echinodermata,Echinoidea,Spatangoida,Loveniidae,Lovenia
Trochus maculatus,10.0,93.0,,Trochus maculatus,Mollusca,Gastropoda,Trochida,Trochidae,Trochus
Lutjanus johnii,13.092499733,80.2944412231,1792-07-02T00:00:00Z,Lutjanus johnii,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus
Mazocraeoides pellonai,15.0,90.0,1976,Mazocraeoides pellonai,Platyhelminthes,Monogenea,Mazocraeidea,Mazocraeidae,Mazocraeoides
Paradrillia melvilli,33.85,78.53,1964-01,Paradrillia melvilli,Mollusca,Gastropoda,Neogastropoda,Horaiclavidae,Paradrillia
Cymbella gracilis,19.8762,75.3433,,Cymbella gracilis var. aurangabadensis,Heterokontophyta,Bacillariophyceae,Cymbellales,Cymbellaceae,Cymbella
Euphyllia glabrescens,10.0,93.0,1821-07-02T12:00:00Z,Euphyllia glabrescens,Cnidaria,Hexacorallia,Scleractinia,Euphylliidae,Euphyllia
Aidanosagitta regularis,18.6000003815,86.0,,Aidanosagitta regularis,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Aidanosagitta
Mitra mitra,10.0,93.0,1758-07-02T12:00:00Z,Mitra mitra,Mollusca,Gastropoda,Neogastropoda,Mitridae,Mitra
Dischistodus prosopotaenia,10.0,93.0,1852,Dischistodus prosopotaenia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Dischistodus
Euprotomus aurisdianae,10.0,93.0,,Euprotomus aurisdianae,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Euprotomus
Anchoa mitchilli,30.413784,87.198541,,Anchoa mitchilli,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa
Cheiriphotis megacheles,13.092499733,80.2944412231,1885-07-02T12:00:00Z,Cheiriphotis megacheles,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Cheiriphotis
Cynoglossus cynoglossus,22.2166690826,88.0833282471,,Cynoglossus cynoglossus,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Cynoglossus
Eucalanus elongatus,9.1103,83.7404,1961/1965,Eucalanus elongatus elongatus,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus
Anemonia antillensis,12.3800001144,69.1500015259,,Anemonia antillensis,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Anemonia
Hypanus sabinus,29.0,93.0,1960-07-08,Hypanus sabinus,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Hypanus
Xestoleberis variegata,12.22277778,74.88611111,2007,Xestoleberis variegata,Arthropoda,Ostracoda,Podocopida,Xestoleberididae,Xestoleberis
Parambassis lala,22.587791,88.348436,1937-04-09,Parambassis lala,Chordata,Teleostei,Ovalentaria incertae sedis,Ambassidae,Parambassis
Centropages furcatus,15.6833,73.1667,1967-06-26T05:00:00Z,Centropages furcatus,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages
Pelates quadrilineatus,9.233333333,79.18333333,2012-01-01/2012-04-30,Pelates quadrilineatus,Chordata,Teleostei,Centrarchiformes,Terapontidae,Pelates
Setipinna taty,21.7565804,89.2230174,2023-01-08,Setipinna taty,Chordata,Teleostei,Clupeiformes,Engraulidae,Setipinna
Pseudogobius melanosticta,13.0925,80.29444,1876,Pseudogobius melanosticta,Chordata,Teleostei,Gobiiformes,Gobiidae,Pseudogobius
Montipora maeandrina,10.0,93.0,1834-07-02T12:00:00Z,Montipora maeandrina,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Montipora
Onuphis geophiliformis,15.25361111,80.40305556,2008/2011,Onuphis geophiliformis,Annelida,Polychaeta,Eunicida,Onuphidae,Onuphis
Krohnitta subtilis,16.5,85.5299987793,,Krohnitta subtilis,Chaetognatha,Sagittoidea,Aphragmophora,Krohnittidae,Krohnitta
Pustularia cicercula,10.0,93.0,,Pustularia cicercula,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Pustularia
Neoconorbina crustata,11.0,72.5,,Neoconorbina crustata,Foraminifera,Globothalamea,Rotaliida,Rosalinidae,Neoconorbina
Sagitta bipunctata,17.5,83.78,1959/1965,Sagitta bipunctata,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta
Macrosetella gracilis,17.1167,92.05,1971-11-15T19:10:12Z,Macrosetella gracilis,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Macrosetella
Hemigymnus melapterus,11.0,72.5,1791-07-02T12:00:00Z,Hemigymnus melapterus,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Hemigymnus
